CustomerID,total_spending,total_transactions,total_quantity,avg_product_price,tenure_months,recency_days,coupon_usage_rate,tech_buyer_flag,avg_basket_size,high_spender,potential_watch_buyer,prediction,prediction_probability
15311,75930.11,586,4205.0,50.56742320819112,40,12,0.3225255972696246,1,7.175767918088737,1,1,1,1.0
17850,34550.16,296,1132.0,69.19844594594595,12,339,0.30405405405405406,1,3.824324324324324,1,1,1,1.0
14646,21193.18,290,781.0,53.72337931034483,45,90,0.3448275862068966,1,2.693103448275862,1,1,1,1.0
15039,26659.9,312,1657.0,42.71817307692307,19,26,0.3269230769230769,1,5.310897435897436,1,1,1,1.0
17841,46198.27,571,2621.0,48.36201401050788,21,17,0.36427320490367776,1,4.590192644483363,1,1,1,1.0
12748,74600.16,694,4868.0,45.07842939481268,28,107,0.3631123919308357,1,7.014409221902017,1,1,1,1.0
18118,18951.9,249,1228.0,45.947550200803214,24,106,0.3092369477911647,1,4.931726907630522,1,1,1,1.0
13089,27196.61,364,925.0,52.394560439560436,25,20,0.37362637362637363,1,2.541208791208791,1,1,1,1.0
13081,19575.2,260,1136.0,41.072961538461534,5,122,0.3269230769230769,1,4.369230769230769,1,1,1,1.0
14911,48957.88,520,2217.0,57.14813461538461,34,10,0.3403846153846154,1,4.263461538461539,1,1,1,1.0
14606,57127.89,571,3119.0,51.96443082311733,33,0,0.38178633975481613,1,5.462346760070052,1,1,1,1.0
17337,35574.46,260,1448.0,72.85269230769231,44,16,0.31153846153846154,1,5.569230769230769,1,1,1,1.0
13174,21689.27,242,794.0,55.48586776859504,25,48,0.33884297520661155,1,3.28099173553719,1,1,1,0.9999999999999991
14298,13546.33,240,781.0,32.026583333333335,41,32,0.32916666666666666,1,3.254166666666667,1,1,1,0.9999999999999951
17511,17777.3,213,847.0,54.207276995305165,25,21,0.36619718309859156,1,3.976525821596244,1,1,1,0.9999999999999376
15808,20039.91,209,888.0,58.07478468899521,6,1,0.27751196172248804,1,4.248803827751196,1,1,1,0.9999999999999156
12681,15419.82,223,504.0,42.263766816143495,27,28,0.28699551569506726,1,2.2600896860986546,1,1,1,0.9999999999997333
14527,15491.65,197,931.0,42.21111675126904,43,32,0.3553299492385787,1,4.725888324873097,1,1,1,0.9999999999991389
15601,16461.63,157,1653.0,56.21993630573249,46,47,0.37579617834394907,1,10.528662420382165,1,1,1,0.99999999999829
14667,26495.03,167,1569.0,41.06317365269461,30,110,0.3473053892215569,1,9.395209580838323,1,1,1,0.9999999999981146
17611,16893.51,192,456.0,63.26203125,26,83,0.4010416666666667,1,2.375,1,1,1,0.9999999999868594
12539,19024.0,187,486.0,73.55994652406417,13,53,0.2887700534759358,1,2.5989304812834226,1,1,1,0.9999999999858251
15719,15960.02,175,796.0,57.18057142857143,16,13,0.37714285714285717,1,4.548571428571429,1,1,1,0.9999999999669988
12433,13829.98,147,1494.0,41.01510204081633,32,265,0.3197278911564626,1,10.16326530612245,1,1,1,0.9999999999209066
15061,15145.130000000001,168,778.0,52.50815476190477,7,65,0.31547619047619047,1,4.630952380952381,1,1,1,0.9999999998282039
14505,10634.02,182,510.0,37.45043956043956,8,149,0.3791208791208791,1,2.802197802197802,1,1,1,0.9999999997160631
18041,14193.67,163,716.0,58.39092024539877,30,18,0.3312883435582822,1,4.392638036809816,1,1,1,0.9999999996821074
14085,11871.23,171,691.0,38.99643274853801,5,13,0.3742690058479532,1,4.04093567251462,1,1,1,0.9999999995608415
15194,23547.7,112,1972.0,47.381875,33,29,0.3125,1,17.607142857142858,1,1,1,0.999999999455792
15464,12850.57,156,829.0,43.643269230769235,40,159,0.3076923076923077,1,5.314102564102564,1,1,1,0.9999999988419557
17341,10771.37,160,763.0,33.4414375,13,272,0.375,1,4.76875,1,1,1,0.9999999976848328
15498,11339.369999999999,162,507.0,50.77413580246913,14,78,0.41358024691358025,1,3.1296296296296298,1,1,1,0.9999999972665836
12501,10021.23,160,606.0,38.095687500000004,8,41,0.275,1,3.7875,1,1,1,0.9999999951933096
13488,11318.88,149,719.0,48.826711409395976,22,11,0.33557046979865773,1,4.825503355704698,1,1,1,0.9999999942987341
15005,10749.9,146,812.0,42.92205479452055,30,18,0.3698630136986301,1,5.561643835616438,1,1,1,0.9999999932624406
15570,17823.21,143,815.0,47.207062937062936,34,121,0.3076923076923077,1,5.699300699300699,1,1,1,0.999999991682263
16782,9923.52,119,1376.0,45.68521008403361,45,55,0.31932773109243695,1,11.563025210084033,1,1,1,0.9999999907738905
14796,14228.85,142,643.0,66.41661971830986,3,80,0.3028169014084507,1,4.528169014084507,1,1,1,0.9999999887031116
15574,9984.91,159,491.0,37.81698113207547,5,198,0.3584905660377358,1,3.088050314465409,1,1,1,0.9999999870865752
13093,11879.72,143,612.0,52.90027972027972,35,19,0.3706293706293706,1,4.27972027972028,1,1,1,0.999999979419834
12567,12235.27,146,519.0,55.014178082191776,23,10,0.3356164383561644,1,3.5547945205479454,1,1,1,0.9999999770568554
16923,14536.81,125,1052.0,50.82232,23,39,0.328,1,8.416,1,1,1,0.9999999743064125
18116,10616.44,155,374.0,41.82812903225806,38,168,0.3548387096774194,1,2.412903225806452,1,1,1,0.9999999691990945
16725,11185.9,133,851.0,41.35398496240602,48,5,0.3308270676691729,1,6.398496240601504,1,1,1,0.9999999602235963
